Extruder temperature zone 1,Extruder temperature zone 2,Extruder temperature zone 3,Extruder pressure,Chiller temperature,Streighthening temperature,Rolling velocity,Extruder signal zone 1,Extruder signal zone 2,Extruder signal zone 3,Extruder signal pressure,Chiller signal,Streighthening signal,Rolling signal,Defect
200.7,208.1,195.9,92.9,24.8,28.7,4.5,0,0,0,0,0,0,1,0
186.4,210.4,189.5,113.8,39.2,39.0,0.6,1,1,1,1,0,0,0,0
183.4,210.0,194.2,70.6,12.5,26.9,4.8,1,0,0,0,1,0,1,0
203.6,217.1,196.8,25.2,29.3,45.4,2.1,0,1,0,0,0,0,1,0
181.3,180.9,194.9,90.4,31.4,33.0,3.5,1,1,0,0,0,0,1,0
202.9,213.6,210.1,78.8,27.3,37.7,3.9,0,1,1,0,0,0,1,0
215.4,187.4,204.4,97.5,29.1,20.5,3.1,1,1,0,0,0,0,1,0
194.4,182.5,188.3,61.4,11.9,44.0,2.8,0,1,1,0,1,0,1,0
188.2,186.8,180.7,60.9,6.3,59.9,4.4,1,1,1,0,1,1,1,1
185.7,197.6,206.7,90.8,60.2,64.8,3.1,1,0,0,0,1,1,1,1
211.5,193.4,218.1,105.9,24.7,65.2,2.2,1,0,1,1,0,1,1,0
219.8,207.2,181.2,87.9,55.0,32.8,4.6,1,0,1,0,1,0,1,0
192.3,190.9,204.9,48.3,63.7,66.7,2.6,0,0,0,0,1,1,1,1
202.6,207.9,199.4,85.2,6.6,20.4,1.6,0,0,0,0,1,0,0,1
208.4,216.1,183.5,93.7,8.2,57.5,4.5,0,1,1,0,1,1,1,0
213.5,198.9,199.6,39.6,38.2,18.0,2.1,1,0,0,0,0,1,1,1
213.2,204.1,184.5,60.6,35.6,34.9,4.0,1,0,1,0,0,0,1,0
219.4,215.9,187.8,75.9,37.8,35.8,4.6,1,1,1,0,0,0,1,0
204.1,206.4,212.7,60.8,6.5,21.9,1.6,0,0,1,0,1,0,0,0
216.3,191.5,209.7,88.2,42.6,34.6,3.7,1,0,0,0,0,0,1,0
190.9,185.5,194.1,34.0,48.3,30.3,1.1,0,1,0,0,0,0,0,0
182.4,205.6,200.2,14.5,49.5,55.3,1.0,1,0,0,0,0,1,0,0
206.5,199.1,212.9,52.9,55.9,38.0,1.8,0,0,1,0,1,0,0,1
197.4,210.2,186.5,111.8,27.3,54.3,0.6,0,1,1,1,0,1,0,1
209.3,191.3,214.8,52.2,69.2,49.5,4.6,0,0,1,0,1,0,1,1
