                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.064,                  3.966,                 1.8769,                0.00067,                   0.25,                0.00083,                0.00066,                 1.5556,                 6.0022,                 1.4287,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.3618,                 3.4037,                 1.5499,                0.97123,                    0.5,                0.49534,                0.32175,                 1.5524,                 2.9097,                 1.3025,             0.00013861,             0.00013861,             0.00013861
                      3,                 2.0945,                 2.9215,                 1.2758,                0.43413,                   0.25,                0.25297,                0.20064,                 1.4339,                 3.4525,                 1.2126,             0.00021564,             0.00021564,             0.00021564
                      4,                 2.0766,                  2.312,                 1.2249,                0.09823,                    0.5,                0.06586,                0.04107,                 1.3595,                 7.9259,                 1.2066,             0.00029109,             0.00029109,             0.00029109
                      5,                 2.0349,                 2.2714,                 1.2325,                0.02088,                   0.25,                0.00864,                0.00545,                 1.1837,                  19.14,                 1.2355,             0.00036495,             0.00036495,             0.00036495
                      6,                  1.918,                 1.5209,                 1.2728,                0.00311,                   0.75,                0.00442,                0.00275,                  1.267,                 1325.1,                 1.1892,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.6733,                 1.5008,                 1.2998,                0.00423,                    0.5,                0.00367,                0.00216,                 1.8996,                    inf,                 1.3599,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.6632,                 1.1636,                 1.2107,                0.30693,                    0.5,                0.24617,                0.13538,                 1.5559,                  2.959,                 1.2216,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.6544,                  1.332,                 1.2433,                0.42271,                   0.75,                0.54763,                0.29478,                 1.9768,                 2.0518,                 1.4189,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.6196,                 1.2061,                 1.2677,                0.32191,                      1,                0.52208,                0.31063,                 1.8382,                 1.7298,                 1.4998,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.7239,                 1.0688,                 1.2371,                0.74251,                    0.5,                0.60961,                0.32816,                 1.7409,                 1.7395,                 1.4535,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.9335,                 1.0737,                 1.4357,                0.57469,                   0.75,                0.56416,                0.28511,                 1.9375,                 2.3236,                 1.6563,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.4957,                 1.5267,                 1.0919,                0.28995,                   0.75,                0.42202,                0.23452,                 2.0074,                 2.3026,                  1.545,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.9705,                 1.2438,                 1.3273,                0.14421,                   0.75,                0.18514,                0.06979,                 2.2935,                 4.1356,                 1.8605,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.7244,                 1.1031,                 1.3849,                0.21024,                    0.5,                 0.1169,                0.05432,                  2.446,                 8.2114,                 2.0536,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.8167,                 0.9826,                 1.3362,                0.72388,                   0.75,                0.68278,                0.32843,                 2.3224,                 5.7286,                 2.7314,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.8153,                  1.291,                 1.2699,                0.01377,                   0.25,                0.00481,                0.00159,                 4.1813,                 13.233,                 7.0716,              0.0011277,              0.0011277,              0.0011277
                     18,                 2.0478,                 1.0534,                 1.4391,                0.00434,                    0.5,                0.00272,                0.00078,                 3.7504,                 997.31,                 6.3783,               0.001181,               0.001181,               0.001181
                     19,                 1.8119,                 1.1788,                 1.4736,                0.00067,                   0.25,                0.00088,                0.00014,                 3.9216,                    nan,                 10.212,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.8803,                 1.0795,                 1.3736,                0.00067,                   0.25,                0.00088,                0.00014,                 4.0403,                    nan,                 26.244,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.8277,                  1.025,                 1.2989,                0.00067,                   0.25,                0.00088,                0.00014,                    nan,                    nan,                    nan,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.9047,                0.98245,                 1.3502,                0.05219,                   0.25,                0.01334,                0.00534,                    nan,                    nan,                    nan,              0.0013783,              0.0013783,              0.0013783
                     23,                 1.7893,                0.96647,                 1.4989,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.9969,                0.94772,                 1.3949,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.3758,                 1.6902,                 1.0355,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.9005,                0.99144,                 1.4338,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                 1.6291,                0.83198,                 1.2973,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.7157,                0.97871,                 1.3536,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7405,                0.91659,                  1.275,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6795,                0.79584,                 1.2563,                0.03812,                   0.25,                0.01687,                0.00971,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
